sample,category,subcategory,subsubcategory,reference,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,Ti,V,Cr,Co,Ni,Rb,Zr,Nb,Cs,Ba,Hf,Ta,Pb,Th,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
UCC-1,composite,upper_continental_crust,UCC,Clarke (1889),60.2,0.57,15.27,1.61,5.97,0.1,4.59,5.45,3.29,2.99,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-2,composite,upper_continental_crust,UCC,Clarke and Washington (1924),60.3,1.07,15.65,1.5,5.5,0.12,3.56,5.18,3.92,3.19,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-3,composite,upper_continental_crust,UCC,Goldschmidt (1933),62.22,0.83,16.63,1.28,5.99,0.12,3.47,3.23,2.15,4.13,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-4,composite,upper_continental_crust,UCC,Shaw et al. (1967),66.8,0.54,15.05,0.94,3.33,0.07,2.3,4.24,3.56,3.19,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-5,composite,upper_continental_crust,UCC,Fahrig and Eade (1968),66.2,0.54,16.1,0.9,3.68,0.08,2.2,3.4,3.9,2.91,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-6,composite,upper_continental_crust,UCC,Ronov and Yaroshevskiy (1976),64.8,0.55,15.84,1.15,4.87,0.1,3.01,3.91,2.81,3.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-7,composite,upper_continental_crust,UCC,Condie (1993),67,0.56,15.14,1.04,3.93,,2.45,3.64,3.55,2.76,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-8,composite,upper_continental_crust,UCC,Gao et al. (1998a),67.97,0.67,14.17,1.2,4.37,0.1,2.62,3.44,2.86,2.68,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-9,composite,upper_continental_crust,UCC,Borodin (1998),67.12,0.6,15.53,1.03,4.12,,2.1,3.51,3.21,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC-10,composite,upper_continental_crust,UCC,"Taylor and McLennan, 1985, 1995",65.89,0.5,15.17,1.07,3.63,0.07,2.2,4.19,3.89,3.39,0.2,,3000,60,35,10,20,112,190,25,3.7,550,5.8,2.2,20,10.7,30,64,7.1,26,4.5,0.88,3.8,0.64,3.5,0.8,2.3,0.33,2.2,0.32
UCC-11,composite,upper_continental_crust,UCC,Wedepohl (1995),66.8,0.54,15.05,0.94,3.33,0.07,2.3,4.24,3.56,3.19,0.15,,,,,,,,,,,,,,,,32.3,65.7,6.3,,4.7,0.95,2.8,0.5,2.9,0.62,,,1.5,0.27
UCC-12,composite,upper_continental_crust,UCC,"Rudnick and Gao, 2003",66.62,0.64,15.4,1.05,4.2,0.1,2.48,3.59,3.27,2.8,0.15,,3840,97,92,17.3,47,84,193,12,4.9,624,5.3,0.9,17,10.5,31,63,7.1,27,4.7,1,4,0.7,3.9,0.83,2.3,0.3,2,0.31
UCC-13,composite,upper_continental_crust,UCC,"McLennan, 2001",65.89,0.5,15.17,1.07,3.63,0.07,2.2,4.19,3.89,3.39,0.2,,4100,107,83,17,44,112,190,12,4.6,550,5.8,1,17,10.7,30,,,,,,,,,,,,,
Dunite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",38.29,0.09,1.82,3.59,9.38,0.71,37.94,1.01,0.2,0.08,0.2,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harzburgite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",39.93,0.26,2.35,5.48,6.47,0.15,33.18,2.9,0.31,0.14,0.13,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peridotite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",42.26,0.63,4.23,3.61,6.58,0.41,31.24,5.05,0.49,0.34,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lherzolite,composite,igneous_composite,ultramafic,"Hyndman, 1985; Le Maitre, 1976",42.52,0.42,4.11,4.82,6.96,0.17,28.37,5.32,0.55,0.25,0.11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorthosite,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",50.28,0.64,25.86,0.96,2.07,0.05,2.12,12.48,3.15,0.65,0.09,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabbro,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",50.14,1.12,15.48,3.01,7.62,0.12,7.59,9.58,2.39,0.93,0.24,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basalt,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",49.2,1.84,15.74,3.79,7.13,0.2,6.73,9.47,2.91,1.1,0.35,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tholeiite,composite,igneous_composite,mafic,"Hyndman, 1985; Le Maitre, 1976",49.58,1.98,14.79,3.38,8.03,0.18,7.3,10.36,2.37,0.43,0.24,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andesite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",57.94,0.87,17.02,3.27,4.04,0.14,3.33,6.79,3.48,1.62,0.21,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dacite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",65.01,0.58,15.91,2.43,2.3,0.09,1.78,4.32,3.79,2.17,0.15,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonalite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",64.82,0.62,16.5,1.3,3.47,0.09,2.28,4.78,3.5,1.74,0.18,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diorite_and_Granodiorite_quartz_diorite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",54.31,0.95,17.76,2.27,5.31,0.13,4.62,7.8,3.83,1.06,0.25,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granodiorite_and_quartz_monzodiorite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",66.37,0.53,15.9,1.07,2.87,0.08,1.66,3.42,3.51,2.91,0.15,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyolite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",72.82,0.28,13.27,1.48,1.11,0.06,0.39,1.14,3.55,4.3,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granite,composite,igneous_composite,felsic,"Hyndman, 1985; Le Maitre, 1976",71.3,0.31,14.32,1.21,1.64,0.05,0.71,1.84,3.68,4.07,0.12,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trachyte,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",61.21,0.7,16.96,2.99,2.29,0.15,0.93,2.34,5.47,4.98,0.21,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",58.58,0.84,16.64,3.04,3.13,0.13,1.87,3.53,5.24,4.95,0.29,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepheline_syenite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",53.56,0.73,20.22,3.45,2.41,0.2,0.76,2.37,8.43,5.68,0.24,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phonolite,composite,igneous_composite,intermediate,"Hyndman, 1985; Le Maitre, 1976",56.77,0.59,19.76,2.48,1.63,0.18,0.51,2.32,8.41,5.25,0.16,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quartz_arenite,composite,sand_composite,,McLennan (1993),95.4,0.2,1.1,0.4,0.2,,0.1,1.6,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithic_arenite,composite,sand_composite,,McLennan (1993),66.1,0.3,8.1,3.8,1.4,0.1,2.4,6.2,0.9,1.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
